SA,SRR,ORIG,REP
sa1,SRR7133835,X12,7.0
sa2,SRR7133836,X5,7.0
sa3,SRR7133837,X6,7.0
sa4,SRR7133838,X7,7.0
sa5,SRR7133839,X8,7.0
sa6,SRR7133840,X1,8.0
sa7,SRR7133841,X2,8.0
sa8,SRR7133904,X9,4.0
sa9,SRR7133905,X10,4.0
sa10,SRR7133912,X1,4.0
sa11,SRR7133913,X2,4.0
sa12,SRR7133914,X3,4.0
sa13,SRR7133915,X4,4.0
sa14,SRR7133916,X5,4.0
sa15,SRR7133917,X6,4.0
sa16,SRR7133918,X7,4.0
sa17,SRR7133919,X8,4.0
sa18,SRR7134000,X6,8.0
sa19,SRR7134001,X5,8.0
sa20,SRR7134002,X4,8.0
sa21,SRR7134003,X3,8.0
sa22,SRR7134006,X8,8.0
sa23,SRR7134007,X7,8.0
sa24,SRR7134075,X6,5.0
sa25,SRR7134076,X5,5.0
sa26,SRR7134077,X4,5.0
sa27,SRR7134078,X3,5.0
sa28,SRR7134079,X2,5.0
sa29,SRR7134080,X1,5.0
sa30,SRR7134081,X12,4.0
sa31,SRR7134082,X11,4.0
sa32,SRR7134083,X8,5.0
sa33,SRR7134084,X7,5.0
sa34,SRR7134163,X5,6.0
sa35,SRR7134164,X6,6.0
sa36,SRR7134165,X3,6.0
sa37,SRR7134166,X4,6.0
sa38,SRR7134167,X1,6.0
sa39,SRR7134168,X2,6.0
sa40,SRR7134169,X11,5.0
sa41,SRR7134170,X12,5.0
sa42,SRR7134171,X9,5.0
sa43,SRR7134172,X10,5.0
sa44,SRR7134217,X9,1.0
sa45,SRR7134218,X10,1.0
sa46,SRR7134219,X7,1.0
sa47,SRR7134220,X8,1.0
sa48,SRR7134221,X1,2.0
sa49,SRR7134222,X2,2.0
sa50,SRR7134223,X11,1.0
sa51,SRR7134224,X12,1.0
sa52,SRR7134225,X3,2.0
sa53,SRR7134226,X4,2.0
sa54,SRR7134228,X7,2.0
sa55,SRR7134229,X8,2.0
sa56,SRR7134230,X5,2.0
sa57,SRR7134231,X6,2.0
sa58,SRR7134232,X11,2.0
sa59,SRR7134233,X12,2.0
sa60,SRR7134234,X9,2.0
sa61,SRR7134235,X10,2.0
sa62,SRR7134236,X1,3.0
sa63,SRR7134237,X2,3.0
sa64,SRR7134316,X4,7.0
sa65,SRR7134317,X3,7.0
sa66,SRR7134320,X12,6.0
sa67,SRR7134321,X11,6.0
sa68,SRR7134322,X2,7.0
sa69,SRR7134323,X1,7.0
sa70,SRR7134324,X8,6.0
sa71,SRR7134325,X7,6.0
sa72,SRR7134326,X10,6.0
sa73,SRR7134327,X9,6.0
sa74,SRR7134368,X2,1.0
sa75,SRR7134369,X1,1.0
sa76,SRR7134370,X4,1.0
sa77,SRR7134371,X3,1.0
sa78,SRR7134372,X6,1.0
sa79,SRR7134373,X5,1.0
sa80,SRR7134374,X4,3.0
sa81,SRR7134375,X3,3.0
sa82,SRR7134376,X6,3.0
sa83,SRR7134377,X5,3.0
sa84,SRR7134378,X8,3.0
sa85,SRR7134379,X7,3.0
sa86,SRR7134380,X10,3.0
sa87,SRR7134381,X9,3.0
sa88,SRR7134382,X12,3.0
sa89,SRR7134383,X11,3.0
sa90,SRR7134402,X9,7.0
sa91,SRR7134403,X10,7.0
sa92,SRR7134404,X11,7.0
