SA,ORIG,REP,SA,TIME
sa1,X2,6.0,SRR7133857_1.fastq.gz,1
sa2,X6,2.0,SRR7133878_1.fastq.gz,1
sa3,X2,2.0,SRR7133882_1.fastq.gz,1
sa4,X6,5.0,SRR7133889_1.fastq.gz,1
sa5,X6,1.0,SRR7134026_1.fastq.gz,1
sa6,X2,1.0,SRR7134045_1.fastq.gz,1
sa7,X6,6.0,SRR7134089_1.fastq.gz,1
sa8,X6,7.0,SRR7134121_1.fastq.gz,1
sa9,X2,5.0,SRR7134123_1.fastq.gz,1
sa10,X2,8.0,SRR7134175_1.fastq.gz,1
sa11,X2,4.0,SRR7134203_1.fastq.gz,1
sa12,X6,3.0,SRR7134268_1.fastq.gz,1
sa13,X2,7.0,SRR7134275_1.fastq.gz,1
sa14,X6,4.0,SRR7134333_1.fastq.gz,1
sa15,X2,3.0,SRR7134356_1.fastq.gz,1
sa16,X6,8.0,SRR7134397_1.fastq.gz,1
